NAEPID,AccNum,Category,Category Label,Percent,PCT SE ,Average score,Score SE
CVS0006, VR267155, 2, During  ,   7, 1.54, 238, 5.02
CVS0006, VR267155, 5, NotOffer,  27, 2.90, 236, 2.84
CVS0006, VR267155, 4, No      ,   5, 1.34, 238, 4.11
CVS0007, VR267153, 1, Before  ,  29, 2.88, 233, 2.90
CVS0006, VR267155, 6, MISSING ,  16, 2.11, 235, 2.72
CVS0007, VR267153, 3, Both    ,  26, 2.97, 230, 2.60
CVS0007, VR267153, 2, During  ,   8, 1.51, 238, 5.40
CVS0007, VR267153, 5, NotOffer,  27, 2.90, 234, 2.76
CVS0007, VR267153, 4, No      ,  10, 1.85, 241, 2.74
CVS0101, VR268528, 1, All stud,  55, 3.08, 230, 1.75
CVS0007, VR267153, 6, MISSING ,  16, 2.11, 234, 2.73
CVS0101, VR268528, 3, NoAccess,  12, 2.05, 248, 3.50
CVS0101, VR268528, 2, All dist,   8, 1.61, 224, 3.15
CVS0101, VR268528, 5, Other   ,  12, 2.29, 234, 4.28
CVS0101, VR268528, 4, None    ,  14, 2.13, 244, 2.58
CVS0201, VR268532, 1, Yes     ,   7, 1.54, 250, 5.71
CVS0101, VR268528, 6, MISSING ,  16, 2.08, 235, 2.76
CVS0201, VR268532, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0201, VR268532, 2, NO RESP ,  93, 1.54, 233, 1.35
CVS0202, VR268532, 2, NO RESP ,  77, 2.64, 236, 1.39
CVS0202, VR268532, 1, Yes     ,  23, 2.64, 227, 3.80
CVS0203, VR268532, 1, Yes     ,  48, 3.11, 231, 1.85
CVS0202, VR268532, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0203, VR268532, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0203, VR268532, 2, NO RESP ,  52, 3.11, 237, 2.04
CVS0204, VR268532, 2, NO RESP ,  84, 2.18, 235, 1.45
CVS0204, VR268532, 1, Yes     ,  16, 2.18, 229, 3.67
CVS0205, VR268532, 1, Yes     ,  25, 2.72, 239, 2.28
CVS0204, VR268532, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0205, VR268532, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0205, VR268532, 2, NO RESP ,  75, 2.72, 232, 1.45
CVS0206, VR268532, 2, NO RESP ,  91, 1.67, 234, 1.45
CVS0206, VR268532, 1, Yes     ,   9, 1.67, 235, 3.17
CVS0301, VR268534, 1, N/A     ,  52, 3.42, 234, 1.78
CVS0206, VR268532, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0301, VR268534, 3, Some    ,   2, 0.96, 239, 6.10
CVS0301, VR268534, 2, None    ,  42, 3.46, 233, 2.22
CVS0301, VR268534, 5, >Half   ,   0,null,null,null
CVS0301, VR268534, 4, Half    ,   0,null,null,null
CVS0301, VR268534, 7, MISSING ,  16, 2.08, 233, 2.77
CVS0301, VR268534, 6, All/most,   4, 1.12, 239, 5.72
CVS0302, VR268535, 2, None    ,  32, 2.97, 234, 2.58
CVS0302, VR268535, 1, N/A     ,  47, 3.04, 235, 1.97
CVS0302, VR268535, 4, Half    ,   0,null,null,null
CVS0302, VR268535, 3, Some    ,  16, 2.05, 234, 3.65
CVS0302, VR268535, 6, All/most,   5, 1.29, 226, 4.63
CVS0302, VR268535, 5, >Half   ,   0, 0.25,null,null
CVS0303, VR267165, 1, N/A     ,  48, 3.13, 235, 2.12
CVS0302, VR268535, 7, MISSING ,  16, 2.08, 233, 2.77
CVS0303, VR267165, 3, Some    ,  17, 1.80, 233, 2.96
CVS0303, VR267165, 2, None    ,  31, 2.95, 233, 2.48
CVS0303, VR267165, 5, >Half   ,   1,null,null,null
CVS0303, VR267165, 4, Half    ,   1, 0.39,null,null
CVS0303, VR267165, 7, MISSING ,  16, 2.13, 233, 2.73
CVS0303, VR267165, 6, All/most,   3, 1.25, 241, 8.01
CVS0304, VR267163, 2, None    ,  27, 2.88, 234, 3.07
CVS0304, VR267163, 1, N/A     ,  44, 3.25, 234, 2.07
CVS0304, VR267163, 4, Half    ,   0,null,null,null
CVS0304, VR267163, 3, Some    ,  17, 2.04, 234, 3.84
CVS0304, VR267163, 6, All/most,  11, 1.97, 234, 4.09
CVS0304, VR267163, 5, >Half   ,   1, 0.35,null,null
CVS0401, VR267172, 1, N/A     ,  54, 3.08, 233, 1.73
CVS0304, VR267163, 7, MISSING ,  16, 2.10, 234, 2.73
CVS0401, VR267172, 3, 1-2/mnth,   4, 1.19, 246, 7.82
CVS0401, VR267172, 2, Never   ,   6, 1.43, 221, 6.00
CVS0401, VR267172, 5, EveryDay,  31, 3.26, 237, 1.99
CVS0401, VR267172, 4, 1-2/week,   6, 1.49, 232, 6.61
CVS0402, VR267173, 1, N/A     ,  56, 3.09, 234, 1.77
CVS0401, VR267172, 6, MISSING ,  16, 2.07, 234, 2.80
CVS0402, VR267173, 3, 1-2/mnth,   3, 1.01, 232, 13.69
CVS0402, VR267173, 2, Never   ,  12, 1.80, 230, 4.61
CVS0402, VR267173, 5, EveryDay,  21, 2.84, 235, 2.54
CVS0402, VR267173, 4, 1-2/week,   8, 1.71, 239, 4.86
CVS0403, VR267175, 1, N/A     ,  61, 3.25, 234, 1.64
CVS0402, VR267173, 6, MISSING ,  16, 2.08, 235, 2.76
CVS0403, VR267175, 3, 1-2/mnth,   2, 0.87, 231, 6.08
CVS0403, VR267175, 2, Never   ,  16, 1.84, 234, 3.59
CVS0403, VR267175, 5, EveryDay,   9, 1.95, 229, 4.87
CVS0403, VR267175, 4, 1-2/week,  12, 1.84, 236, 4.88
CVS0404, VR267174, 1, N/A     ,  48, 3.23, 233, 1.86
CVS0403, VR267175, 6, MISSING ,  16, 2.08, 235, 2.76
CVS0404, VR267174, 3, 1-2/mnth,  18, 2.26, 234, 2.93
CVS0404, VR267174, 2, Never   ,   2, 0.87, 223, 9.71
CVS0404, VR267174, 5, EveryDay,  12, 1.95, 230, 3.70
CVS0404, VR267174, 4, 1-2/week,  20, 2.57, 240, 2.98
CVS0501, VR239706, 1, Yes     ,   8, 1.47, 233, 4.90
CVS0404, VR267174, 6, MISSING ,  16, 2.08, 235, 2.76
CVS0501, VR239706, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0501, VR239706, 2, No      ,  92, 1.47, 234, 1.40
CVS0502, VR239707, 2, No      ,  96, 1.13, 234, 1.29
CVS0502, VR239707, 1, Yes     ,   4, 1.13, 226, 7.58
CVS0503, VR239708, 1, Yes     ,   3, 0.76, 228, 5.00
CVS0502, VR239707, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0503, VR239708, 3, MISSING ,  16, 2.08, 234, 2.76
CVS0503, VR239708, 2, No      ,  97, 0.76, 234, 1.34
CVS0504, VR249734, 2, No      ,  99, 0.72, 234, 1.30
CVS0504, VR249734, 1, Yes     ,   1, 0.72, 219, 14.42
CVS0505, VR239710, 1, Yes     ,  54, 3.01, 232, 1.74
CVS0504, VR249734, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0505, VR239710, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0505, VR239710, 2, No      ,  46, 3.01, 236, 2.01
CVS0506, VR239711, 2, No      ,  76, 2.43, 234, 1.53
CVS0506, VR239711, 1, Yes     ,  24, 2.43, 233, 2.07
CVS0602, VR239677, 1, Yes     ,  88, 2.01, 235, 1.36
CVS0506, VR239711, 3, MISSING ,  16, 2.08, 235, 2.72
CVS0602, VR239677, 3, MISSING ,  16, 2.08, 235, 2.76
CVS0602, VR239677, 2, No      ,  12, 2.01, 226, 3.11
CVS1901, VR374143, 2, During  ,  18, 2.45, 235, 3.19
CVS1901, VR374143, 1, Before  ,  33, 2.84, 236, 2.46
CVS1901, VR374143, 4, No      ,   0,null,null,null
CVS1901, VR374143, 3, Both    ,  47, 3.28, 233, 2.13
CVS1901, VR374143, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1901, VR374143, 5, Notoffer,   2, 1.07, 238, 4.94
CVS1902, VR374144, 2, During  ,  27, 2.74, 236, 2.25
CVS1902, VR374144, 1, Before  ,  26, 2.90, 235, 3.02
CVS1902, VR374144, 4, No      ,   3, 1.00, 243, 6.60
CVS1902, VR374144, 3, Both    ,  41, 2.82, 234, 2.41
CVS1902, VR374144, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1902, VR374144, 5, Notoffer,   2, 1.07, 238, 4.94
CVS1903, VR374145, 2, During  ,  25, 2.50, 233, 2.26
CVS1903, VR374145, 1, Before  ,  27, 3.08, 237, 3.00
CVS1903, VR374145, 4, No      ,   0,null,null,null
CVS1903, VR374145, 3, Both    ,  45, 3.22, 234, 2.22
CVS1903, VR374145, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1903, VR374145, 5, Notoffer,   2, 1.07, 238, 4.94
CVS1904, VR374146, 2, During  ,  26, 2.46, 235, 2.35
CVS1904, VR374146, 1, Before  ,  24, 2.67, 235, 3.12
CVS1904, VR374146, 4, No      ,   5, 1.46, 233, 5.63
CVS1904, VR374146, 3, Both    ,  42, 2.84, 234, 2.47
CVS1904, VR374146, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1904, VR374146, 5, Notoffer,   3, 1.09, 239, 4.37
CVS1905, VR374147, 2, During  ,  25, 2.79, 233, 2.26
CVS1905, VR374147, 1, Before  ,  26, 3.01, 237, 3.01
CVS1905, VR374147, 4, No      ,   0,null,null,null
CVS1905, VR374147, 3, Both    ,  46, 3.29, 235, 2.25
CVS1905, VR374147, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1905, VR374147, 5, Notoffer,   3, 1.09, 239, 4.37
CVS1906, VR374148, 2, During  ,  24, 2.58, 234, 2.60
CVS1906, VR374148, 1, Before  ,  25, 2.83, 236, 3.03
CVS1906, VR374148, 4, No      ,   2, 0.81, 234, 4.63
CVS1906, VR374148, 3, Both    ,  46, 3.11, 234, 2.19
CVS1906, VR374148, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1906, VR374148, 5, Notoffer,   3, 1.15, 243, 5.03
CVS1907, VR374149, 2, During  ,  22, 2.48, 234, 2.77
CVS1907, VR374149, 1, Before  ,  24, 2.80, 237, 3.09
CVS1907, VR374149, 4, No      ,  13, 2.38, 234, 4.48
CVS1907, VR374149, 3, Both    ,  38, 3.35, 234, 2.33
CVS1907, VR374149, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1907, VR374149, 5, Notoffer,   3, 1.10, 236, 5.12
CVS1401, VR374851, 2, AlDstLrn,  12, 1.89, 235, 4.47
CVS1401, VR374851, 1, DstAll  ,  57, 3.29, 230, 1.88
CVS1401, VR374851, 4, None    ,   3, 1.13, 245, 4.76
CVS1401, VR374851, 3, NoAccess,  25, 3.41, 245, 3.15
CVS1401, VR374851, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1401, VR374851, 5, Other   ,   3, 0.93, 236, 10.72
CVS1501, VR375457, 2, NO RESP ,  92, 1.75, 234, 1.50
CVS1501, VR375457, 1, Yes     ,   8, 1.75, 246, 5.82
CVS1502, VR375457, 1, Yes     ,  42, 3.03, 231, 2.50
CVS1501, VR375457, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1502, VR375457, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1502, VR375457, 2, NO RESP ,  58, 3.03, 238, 1.80
CVS1503, VR375457, 2, NO RESP ,  29, 2.87, 239, 3.13
CVS1503, VR375457, 1, Yes     ,  71, 2.87, 233, 1.54
CVS1504, VR375457, 1, Yes     ,  26, 2.83, 228, 2.38
CVS1503, VR375457, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1504, VR375457, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1504, VR375457, 2, NO RESP ,  74, 2.83, 237, 1.59
CVS1505, VR375457, 2, NO RESP ,  91, 1.73, 235, 1.41
CVS1505, VR375457, 1, Yes     ,   9, 1.73, 234, 5.04
CVS1506, VR375457, 1, Yes     ,   2, 0.96, 249, 5.55
CVS1505, VR375457, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1506, VR375457, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1506, VR375457, 2, NO RESP ,  98, 0.96, 235, 1.43
CVS1601, VR375478, 2, None    ,  47, 3.14, 235, 2.43
