CVS1401, VR374851, 6, MISSING ,  25, 2.40, 212, 1.71
CVS1501, VR375457, 1, Yes     ,   7, 1.66, 229, 5.13
CVS1501, VR375457, 2, NO RESP ,  93, 1.66, 214, 1.27
CVS1501, VR375457, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1502, VR375457, 1, Yes     ,  41, 3.08, 214, 2.15
CVS1502, VR375457, 2, NO RESP ,  59, 3.08, 217, 1.66
CVS1502, VR375457, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1503, VR375457, 1, Yes     ,  71, 2.95, 214, 1.42
CVS1503, VR375457, 2, NO RESP ,  29, 2.95, 220, 2.43
CVS1503, VR375457, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1504, VR375457, 1, Yes     ,  25, 2.82, 209, 2.31
CVS1504, VR375457, 2, NO RESP ,  75, 2.82, 217, 1.32
CVS1504, VR375457, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1505, VR375457, 1, Yes     ,  10, 1.86, 221, 4.84
CVS1505, VR375457, 2, NO RESP ,  90, 1.86, 215, 1.30
CVS1505, VR375457, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1506, VR375457, 1, Yes     ,   2, 1.06, 224, 8.10
CVS1506, VR375457, 2, NO RESP ,  98, 1.06, 215, 1.25
CVS1506, VR375457, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1601, VR375478, 1, NA      ,  38, 2.96, 218, 1.93
CVS1601, VR375478, 2, None    ,  47, 3.09, 215, 1.91
CVS1601, VR375478, 3, Some    ,   8, 1.97, 217, 4.46
CVS1601, VR375478, 4, Half    ,   1, 0.61, 196, 11.18
CVS1601, VR375478, 5, >Half   ,   0,null,null,null
CVS1601, VR375478, 6, All/most,   6, 1.49, 208, 6.07
CVS1601, VR375478, 7, MISSING ,  27, 2.38, 212, 1.73
CVS1602, VR375477, 1, NA      ,  10, 1.97, 223, 3.07
CVS1602, VR375477, 2, None    ,   8, 1.79, 217, 4.76
CVS1602, VR375477, 3, Some    ,  26, 3.08, 215, 2.74
CVS1602, VR375477, 4, Half    ,   5, 1.40, 217, 6.17
CVS1602, VR375477, 5, >Half   ,   5, 1.59, 226, 5.12
CVS1602, VR375477, 6, All/most,  46, 3.02, 213, 1.96
CVS1602, VR375477, 7, MISSING ,  26, 2.41, 212, 1.68
CVS1603, VR375479, 1, NA      ,  17, 2.68, 222, 3.35
CVS1603, VR375479, 2, None    ,  22, 2.60, 215, 2.77
CVS1603, VR375479, 3, Some    ,  37, 3.47, 216, 2.20
CVS1603, VR375479, 4, Half    ,   5, 1.35, 217, 4.92
CVS1603, VR375479, 5, >Half   ,   4, 1.05, 211, 5.74
CVS1603, VR375479, 6, All/most,  15, 2.21, 211, 3.61
CVS1603, VR375479, 7, MISSING ,  26, 2.40, 212, 1.71
CVS1604, VR375476, 1, NA      ,   8, 1.79, 224, 4.32
CVS1604, VR375476, 2, None    ,   5, 1.39, 213, 6.45
CVS1604, VR375476, 3, Some    ,  27, 2.85, 215, 2.71
CVS1604, VR375476, 4, Half    ,   6, 1.54, 220, 3.63
CVS1604, VR375476, 5, >Half   ,   7, 1.53, 215, 3.79
CVS1604, VR375476, 6, All/most,  47, 2.97, 214, 1.81
CVS1604, VR375476, 7, MISSING ,  26, 2.41, 212, 1.69
CVS1701, VR375487, 1, NA      ,   6, 1.56, 217, 5.80
CVS1701, VR375487, 2, Never   ,   0,null,null,null
CVS1701, VR375487, 3, 1-2/mnth,   1, 0.54,null,null
CVS1701, VR375487, 4, 1-2/week,   9, 1.74, 214, 3.42
CVS1701, VR375487, 5, EveryDay,  84, 2.49, 215, 1.35
