 Survey Question Description                         
 This schl year modified: Schl year will end later   
 This schl year modified: Schl year will end later   
 MISSING                                             
 This schl year modified: Length of schl day extend  
 This schl year modified: Length of schl day extend  
 MISSING                                             
 This schl year modified: Attendnce sched in shifts  
 This schl year modified: Attendnce sched in shifts  
 MISSING                                             
 This schl year modified: Addl prgrms/class offered  
 This schl year modified: Addl prgrms/class offered  
 MISSING                                             
 This schl year modified: Option to repeat prev grd  
 This schl year modified: Option to repeat prev grd  
 MISSING                                             
 Working as administrator at this school 2020-2021   
 Working as administrator at this school 2020-2021   
 MISSING                                             
 Last year prep for distance: Training tchr/staff    
 Last year prep for distance: Training tchr/staff    
 Last year prep for distance: Training tchr/staff    
 Last year prep for distance: Training tchr/staff    
 Last year prep for distance: Training tchr/staff    
 MISSING                                             
 Last year prep for distance: Training stud/parnt    
 Last year prep for distance: Training stud/parnt    
 Last year prep for distance: Training stud/parnt    
 Last year prep for distance: Training stud/parnt    
 Last year prep for distance: Training stud/parnt    
 MISSING                                             
 Last year prep for distance: Digital resources      
 Last year prep for distance: Digital resources      
 Last year prep for distance: Digital resources      
 Last year prep for distance: Digital resources      
 Last year prep for distance: Digital resources      
 MISSING                                             
 Last year prep for distance: Paper resources        
 Last year prep for distance: Paper resources        
 Last year prep for distance: Paper resources        
 Last year prep for distance: Paper resources        
 Last year prep for distance: Paper resources        
 MISSING                                             
 Last year prep for distance: Adapt curric plans     
 Last year prep for distance: Adapt curric plans     
 Last year prep for distance: Adapt curric plans     
 Last year prep for distance: Adapt curric plans     
 Last year prep for distance: Adapt curric plans     
 MISSING                                             
 Last year prep for distance: Addl support for SD    
 Last year prep for distance: Addl support for SD    
 Last year prep for distance: Addl support for SD    
 Last year prep for distance: Addl support for SD    
 Last year prep for distance: Addl support for SD    
 MISSING                                             
 Last year prep for distance: Addl support for EL    
 Last year prep for distance: Addl support for EL    
 Last year prep for distance: Addl support for EL    
 Last year prep for distance: Addl support for EL    
 Last year prep for distance: Addl support for EL    
 MISSING                                             
 Last year distribute laptops/tablets to students    
 Last year distribute laptops/tablets to students    
 Last year distribute laptops/tablets to students    
 Last year distribute laptops/tablets to students    
 Last year distribute laptops/tablets to students    
 MISSING                                             
 Last year internet access: All student already had  
 Last year internet access: All student already had  
 MISSING                                             
 Last year internet access: Schl assist stud to get  
 Last year internet access: Schl assist stud to get  
 MISSING                                             
 Last year internet access: Schl provided hotspots   
 Last year internet access: Schl provided hotspots   
 MISSING                                             
 Last year internet access: Schl provided Wi-Fi      
 Last year internet access: Schl provided Wi-Fi      
 MISSING                                             
 Last year internet access: Schl did not assist      
 Last year internet access: Schl did not assist      
 MISSING                                             
 Last year internet access: Other                    
 Last year internet access: Other                    
 MISSING                                             
 "Last year in-person classes canceled; not replaced"
 "Last year in-person classes canceled; not replaced"
 "Last year in-person classes canceled; not replaced"
 "Last year in-person classes canceled; not replaced"
 "Last year in-person classes canceled; not replaced"
 "Last year in-person classes canceled; not replaced"
 MISSING                                             
 Last year in-person classes moved to distnce learn  
 Last year in-person classes moved to distnce learn  
 Last year in-person classes moved to distnce learn  
 Last year in-person classes moved to distnce learn  
 Last year in-person classes moved to distnce learn  
 Last year in-person classes moved to distnce learn  
 MISSING                                             
 Last year students completed lessons on their own   
 Last year students completed lessons on their own   
 Last year students completed lessons on their own   
 Last year students completed lessons on their own   
 Last year students completed lessons on their own   
 Last year students completed lessons on their own   
 MISSING                                             
 Last year lessons conducted in real-time            
 Last year lessons conducted in real-time            
 Last year lessons conducted in real-time            
 Last year lessons conducted in real-time            
 Last year lessons conducted in real-time            
 Last year lessons conducted in real-time            
 MISSING                                             
 "Last year distnce learn; tchr commun w/stud online"
 "Last year distnce learn; tchr commun w/stud online"
 "Last year distnce learn; tchr commun w/stud online"
 "Last year distnce learn; tchr commun w/stud online"
 "Last year distnce learn; tchr commun w/stud online"
 MISSING                                             
 "Last year distnce learn; tchr virtual office hours"
 "Last year distnce learn; tchr virtual office hours"
 "Last year distnce learn; tchr virtual office hours"
 "Last year distnce learn; tchr virtual office hours"
 "Last year distnce learn; tchr virtual office hours"
 MISSING                                             
 "Last year distnce learn; tchr call students       "
 "Last year distnce learn; tchr call students       "
 "Last year distnce learn; tchr call students       "
 "Last year distnce learn; tchr call students       "
 "Last year distnce learn; tchr call students       "
 MISSING                                             
 "Last year distnce learn; tchr communicate w/parent"
 "Last year distnce learn; tchr communicate w/parent"
 "Last year distnce learn; tchr communicate w/parent"
 "Last year distnce learn; tchr communicate w/parent"
 "Last year distnce learn; tchr communicate w/parent"
 MISSING                                             
 Last schl year modified: Schl year started earlier  
 Last schl year modified: Schl year started earlier  
 MISSING                                             
 Last schl year modified: Schl year ended later      
 Last schl year modified: Schl year ended later      
 MISSING                                             
 Last schl year modified: Length of schl day extend  
 Last schl year modified: Length of schl day extend  
 MISSING                                             
 Last schl year modified: Attendnce sched in shifts  
 Last schl year modified: Attendnce sched in shifts  
 MISSING                                             
 Last schl year modified: Addl prgrms/class offered  
 Last schl year modified: Addl prgrms/class offered  
 MISSING                                             
 Last schl year modified: Option to repeat prev grd  
 Last schl year modified: Option to repeat prev grd  
 MISSING                                             
